Date,Price,Open,High,Low,Vol.,Change %
5/9/2023,13000,13000,13250,12950,15.19M,0.39%
5/8/2023,12950,13500,13500,12950,38.22M,-4.43%
5/5/2023,13550,13500,13550,13150,19.53M,0.00%
5/4/2023,13550,13850,14000,13500,28.43M,-5.24%
04/28/2023,14300,14400,14600,14150,19.53M,1.42%
04/27/2023,14100,13950,14400,13800,23.42M,1.08%
04/26/2023,13950,13700,14000,13500,11.14M,1.45%
04/25/2023,13750,14300,14350,13700,13.98M,-2.14%
04/24/2023,14050,13700,14150,13200,22.01M,3.31%
04/21/2023,13600,14400,14450,13550,31.62M,-5.56%
04/20/2023,14400,14550,14600,14300,11.35M,-1.03%
04/19/2023,14550,15000,15350,14550,33.91M,-2.02%
04/18/2023,14850,14900,15200,14350,26.45M,0.34%
04/17/2023,14800,14450,14800,14300,16.81M,4.23%
04/14/2023,14200,14550,14950,14150,33.87M,-2.07%
04/13/2023,14500,15050,15050,14300,32.76M,-3.65%
4/12/2023,15050,14800,15150,14500,51.45M,5.99%
4/11/2023,14200,13150,14200,12650,63.47M,6.77%
4/10/2023,13300,13650,13900,13250,23.84M,-0.75%
4/7/2023,13400,13400,13500,13100,18.84M,1.13%
4/6/2023,13250,13250,13700,13050,47.11M,3.11%
4/5/2023,12850,12800,13300,12750,30.63M,0.78%
4/4/2023,12750,12900,12900,12650,16.61M,-0.78%
4/3/2023,12850,12900,13250,12700,32.85M,1.18%
03/31/2023,12700,12950,12950,12650,9.31M,-0.78%
03/30/2023,12800,12750,13150,12600,21.98M,1.99%
03/29/2023,12550,12450,12750,12400,10.74M,-0.40%
03/28/2023,12600,12950,13300,12600,30.74M,-0.79%
03/27/2023,12700,12300,12700,12100,24.34M,6.72%
03/24/2023,11900,11200,11900,11100,30.51M,6.73%
03/23/2023,11150,11000,11150,10900,3.53M,0.45%
03/22/2023,11100,11250,11250,11050,5.71M,0.45%
03/21/2023,11050,11250,11250,10900,7.86M,-0.45%
03/20/2023,11100,11450,11500,11050,9.86M,-3.48%
03/17/2023,11500,11350,11500,11150,18.24M,3.14%
03/16/2023,11150,11100,11350,11050,9.37M,-1.76%
03/15/2023,11350,11000,11350,10900,15.17M,6.07%
03/14/2023,10700,11000,11150,10650,10.23M,-2.73%
03/13/2023,11000,10650,11200,10600,14.77M,3.29%
3/10/2023,10650,10800,10900,10600,7.73M,-2.74%
3/9/2023,10950,11150,11200,10850,7.49M,-0.90%
3/8/2023,11050,10750,11150,10550,14.53M,1.84%
3/7/2023,10850,11400,11550,10800,15.78M,-1.81%
3/6/2023,11050,11050,11050,11000,13.57M,6.76%
3/3/2023,10350,10600,10600,10150,7.12M,0.00%
3/2/2023,10350,10250,10650,10250,7.21M,0.98%
3/1/2023,10250,10550,10600,10050,10.14M,-3.30%
02/28/2023,10600,10900,11000,10600,7.14M,-1.40%
02/27/2023,10750,11600,11600,10750,14.18M,-5.70%
02/24/2023,11400,11950,12100,11400,10.37M,-3.39%
02/23/2023,11800,11800,11900,11200,16.25M,-1.67%
02/22/2023,12000,12300,12550,12000,27.14M,-6.61%
02/21/2023,12850,12950,13300,12750,27.96M,3.21%
02/20/2023,12450,11850,12450,11800,24.43M,6.87%
02/17/2023,11650,11600,12250,11200,23.50M,1.30%
02/16/2023,11500,11500,11500,11250,13.05M,3.14%
02/15/2023,11150,11150,11850,11150,51.76M,-6.69%
02/14/2023,11950,11950,12300,11950,10.41M,-6.64%
02/13/2023,12800,12800,13200,12800,19.94M,-6.91%
2/10/2023,13750,14150,14200,13700,10.98M,-2.83%
2/9/2023,14150,14350,14500,14000,8.50M,-1.05%
2/8/2023,14300,14800,14900,13900,13.71M,-2.05%
2/7/2023,14600,15350,15600,14550,20.04M,-5.19%
2/6/2023,15400,14900,15750,14600,19.86M,3.01%
2/3/2023,14950,14450,14950,14300,20.30M,5.28%
2/2/2023,14200,14850,14850,14050,11.46M,-2.41%
2/1/2023,14550,14350,15150,14300,33.62M,2.46%
01/31/2023,14200,14300,14400,14050,10.53M,1.79%
01/30/2023,13950,13950,14450,13650,14.01M,0.00%
01/27/2023,13950,14000,14300,13850,11.68M,-0.71%
01/19/2023,14050,14150,14200,13950,12.47M,-0.71%
01/18/2023,14150,14100,14250,14000,11.19M,1.07%
01/17/2023,14000,13900,14100,13700,10.05M,2.56%
01/16/2023,13650,14300,14350,13650,16.75M,-4.55%
01/13/2023,14300,15200,15200,14250,14.47M,-4.35%
1/12/2023,14950,15200,15700,14700,14.84M,0.34%
1/11/2023,14900,14100,14900,14050,27.73M,6.81%
1/10/2023,13950,14050,14150,13800,8.57M,0.72%
1/9/2023,13850,13900,14250,13700,9.96M,1.84%
1/6/2023,13600,13700,14400,13600,16.07M,-0.73%
1/5/2023,13700,14000,14250,13500,13.92M,-2.14%
1/4/2023,14000,14650,14700,14000,15.52M,-4.44%
1/3/2023,14650,14000,14700,13850,12.20M,4.64%
12/30/2022,14000,14800,14900,14000,10.59M,-4.44%
12/29/2022,14650,14050,15350,14050,21.57M,2.09%
12/28/2022,14350,14500,14600,13800,13.46M,-0.35%
12/27/2022,14400,13200,14400,13100,27.21M,2.49%
12/26/2022,14050,15200,15200,14050,12.06M,-6.95%
12/23/2022,15100,15500,15900,15100,11.37M,-2.58%
12/22/2022,15500,15200,15700,14200,29.79M,1.97%
12/21/2022,15200,16200,16600,15200,34.31M,-6.75%
12/20/2022,16300,17250,17600,16300,36.93M,-6.86%
12/19/2022,17500,18200,18900,17500,23.84M,-3.85%
12/16/2022,18200,17300,18200,17300,20.39M,1.68%
12/15/2022,17900,18250,18600,17700,21.35M,-3.24%
12/14/2022,18500,18700,19000,18200,19.28M,1.65%
12/13/2022,18200,19000,19000,17050,55.17M,2.25%
