Date,Price,Open,High,Low,Vol.,Change %
09/30/2022,29982,31565,31565,28794,4.26M,-2.88%
09/29/2022,30872,32010,32802,30872,4.83M,-0.80%
09/28/2022,31120,30674,32158,30674,3.22M,-0.94%
09/27/2022,31416,33099,33148,30575,5.48M,-3.94%
09/26/2022,32703,34632,34632,32703,10.36M,-6.90%
09/23/2022,35127,35721,36215,34830,2.63M,-1.39%
09/22/2022,35622,34929,36116,34385,5.81M,-1.50%
09/21/2022,36166,36413,36661,36116,1.34M,-1.48%
09/20/2022,36710,36215,36809,35572,2.01M,1.92%
09/19/2022,36018,37700,37799,35968,2.13M,-5.45%
09/16/2022,38095,39382,39431,37947,1.73M,-3.27%
09/15/2022,39382,39877,39975,39233,1.22M,-0.50%
09/14/2022,39580,39085,40025,38194,1.89M,0.00%
09/13/2022,39580,39382,39827,39085,1.30M,0.00%
9/12/2022,39580,40421,40421,39580,1.56M,-0.50%
9/9/2022,39778,40074,40074,38887,1.45M,0.50%
9/8/2022,39580,39580,40173,38887,2.15M,1.27%
9/7/2022,39085,41707,41757,39085,3.33M,-5.95%
9/6/2022,41559,41509,42251,41460,897.20K,-0.35%
9/5/2022,41707,41410,41905,40965,1.09M,0.72%
08/31/2022,41410,42548,42548,41410,2.01M,-2.79%
08/30/2022,42598,43488,43538,42598,1.64M,-1.71%
08/29/2022,43340,42598,43340,42499,1.59M,-1.24%
08/26/2022,43884,42993,44032,42499,3.05M,1.95%
08/25/2022,43043,42647,43290,42647,1.40M,0.93%
08/24/2022,42647,43043,43439,42499,1.31M,-1.26%
08/23/2022,43191,41757,43191,41757,1.87M,2.58%
08/22/2022,42103,40569,42499,40421,1.74M,3.03%
08/19/2022,40866,42251,42449,40569,2.31M,-3.28%
08/18/2022,42251,42845,43241,42251,1.62M,-2.51%
08/17/2022,43340,42350,43686,42251,2.73M,2.34%
08/16/2022,42350,42746,42845,42350,1.09M,-0.93%
08/15/2022,42746,42449,42944,41856,1.33M,1.89%
8/12/2022,41954,42004,42202,41064,1.86M,-0.24%
8/11/2022,42053,43241,43538,41608,1.97M,-1.16%
8/10/2022,42548,42746,43736,42449,3.04M,-0.58%
8/9/2022,42796,41856,43389,41460,2.02M,2.61%
8/8/2022,41707,41460,42053,41163,1.60M,0.84%
8/5/2022,41361,40371,41361,40371,1.53M,1.33%
8/4/2022,40817,41064,41311,40470,1.35M,-0.24%
8/3/2022,40915,40074,41460,39877,1.98M,0.97%
8/2/2022,40520,40817,41509,40421,2.23M,-0.73%
8/1/2022,40817,39382,40866,38887,3.01M,5.36%
07/29/2022,38739,39085,39134,38590,2.82M,0.26%
07/28/2022,38640,38194,39233,37947,3.00M,2.22%
07/27/2022,37799,36413,37799,36364,1.36M,3.24%
07/26/2022,36611,37403,37403,36611,1.08M,-0.27%
07/25/2022,36710,37106,37452,36611,1.34M,-1.46%
07/22/2022,37254,37799,38145,37254,985.20K,-1.44%
07/21/2022,37799,37749,38244,37749,1.15M,1.06%
07/20/2022,37403,36908,37996,36908,1.43M,2.16%
07/19/2022,36611,37205,37205,36215,1.75M,-1.99%
07/18/2022,37353,38046,38194,37106,1.02M,-1.05%
07/15/2022,37749,37799,39085,37700,1.72M,0.39%
07/14/2022,37601,36314,38491,36215,2.48M,2.70%
07/13/2022,36611,37007,37205,36512,1.06M,-1.60%
7/12/2022,37205,35721,37205,35671,1.82M,3.87%
