Date,Price,Open,High,Low,Vol.,Change %
08/30/2022,59900,59700,60400,59500,1.77M,0.34%
08/29/2022,59700,59600,59800,58900,2.04M,-1.00%
08/26/2022,60300,61000,61400,60200,851.20K,-1.15%
08/25/2022,61000,59900,61200,59800,2.03M,2.18%
08/24/2022,59700,59600,59800,59300,1.05M,0.34%
08/23/2022,59500,59200,59700,59100,1.35M,0.17%
08/22/2022,59400,59900,60400,59100,2.12M,-1.16%
08/19/2022,60100,61000,61100,59500,2.78M,-1.64%
08/18/2022,61100,61300,61800,61100,3.35M,-0.33%
08/17/2022,61300,61500,61800,61300,2.51M,0.00%
08/16/2022,61300,61500,61800,61100,1.11M,-0.33%
08/15/2022,61500,61500,62300,61300,2.19M,0.49%
8/12/2022,61200,61400,61500,61100,1.42M,-0.33%
8/11/2022,61400,61900,61900,61000,2.24M,0.16%
8/10/2022,61300,61000,62300,60800,1.59M,0.66%
8/9/2022,60900,61700,61900,60900,2.23M,-0.98%
8/8/2022,61500,61500,61900,61500,2.23M,-0.49%
8/5/2022,61800,62700,62700,61600,2.29M,-1.90%
8/4/2022,63000,62000,63100,62000,5.22M,1.78%
8/3/2022,61900,62000,62700,61400,2.01M,-0.96%
8/2/2022,62500,59800,62800,59400,4.32M,4.17%
8/1/2022,60000,59800,60000,59000,1.70M,0.17%
07/29/2022,59900,58900,60500,58800,3.24M,1.87%
07/28/2022,58800,59000,59100,58500,1.91M,0.34%
07/27/2022,58600,58500,58800,58500,502.80K,-0.17%
07/26/2022,58700,59000,59300,58500,737.10K,-0.34%
07/25/2022,58900,58500,59100,58500,1.23M,0.34%
07/22/2022,58700,58900,59000,58500,1.53M,-0.34%
07/21/2022,58900,59600,59700,58900,2.07M,-1.34%
07/20/2022,59700,59000,59700,58500,1.91M,1.53%
07/19/2022,58800,58600,59100,58600,1.86M,-0.34%
07/18/2022,59000,60000,60000,59000,2.02M,-1.67%
07/15/2022,60000,59500,60200,59400,2.30M,-0.17%
07/14/2022,60100,60100,60300,59200,1.91M,0.00%
07/13/2022,60100,60000,60500,59000,2.33M,-0.17%
7/12/2022,60200,59500,60500,59100,3.60M,-0.50%
7/11/2022,60500,59100,60500,58400,4.88M,-0.82%
7/8/2022,61000,61300,61300,59500,1.79M,0.00%
7/7/2022,61000,59000,61000,58300,2.10M,3.21%
7/6/2022,59100,60200,60500,58400,6.72M,-2.31%
7/5/2022,60500,61100,61500,60400,3.13M,-0.82%
7/4/2022,61000,62000,62000,61000,2.26M,-0.65%
7/1/2022,61400,62200,63500,61400,2.97M,-1.13%
06/30/2022,62100,63300,63800,62100,2.48M,-1.90%
06/29/2022,63300,63600,64000,63100,1.57M,-0.78%
06/28/2022,63800,63500,64100,63500,1.46M,0.47%
06/27/2022,63500,63200,64900,63200,2.67M,0.47%
06/24/2022,63200,63300,63800,63100,2.26M,0.00%
06/23/2022,63200,63900,64200,63000,5.53M,-2.47%
06/22/2022,64800,64500,65000,63500,3.46M,-0.31%
06/21/2022,65000,64700,65000,63800,2.37M,0.00%
06/20/2022,65000,65900,66000,64700,2.70M,-1.52%
06/17/2022,66000,64800,66000,63800,3.11M,0.00%
06/16/2022,66000,65900,66700,65600,2.44M,0.15%
06/15/2022,65900,66000,66300,64700,3.51M,-0.15%
06/14/2022,66000,65600,66000,64700,3.02M,0.00%
06/13/2022,66000,66500,67000,65200,3.37M,-3.37%
6/10/2022,68300,67200,68300,67200,2.45M,0.00%
6/9/2022,68300,68700,68700,67500,3.54M,-0.29%
6/8/2022,68500,68500,69200,68000,2.09M,0.00%
6/7/2022,68500,69000,69000,67800,3.57M,-1.15%
